  ID                   comp_ID   pair_ID   obs_time              PA        PA_err    sep        sep_err   deltamag   deltamag_err   band    instru   
  HD101190             2         A-B       n/a                   -999.00   -999.00   11000.00   -999.00   4.60       -999.00        V       MAS98    
  HD101190             3         A-C       n/a                   -999.00   -999.00   13370.00   -999.00   3.40       -999.00        V       MAS98    
  HD101205             1         A-B       n/a                   -999.00   -999.00   360.00     -999.00   0.30       -999.00        V       MAS98    
  HD101205             1         A-B       20.061.967            113.80    -999.00   357.00     -999.00   0.30       -999.00        ???     MAS09    
  HD101205             1         A-B       20.130.851            115.54    4.55      364.90     28.34     0.29       0.64           H       IMG      
  HD101205             1         A-B       20.130.851            115.54    4.55      364.90     28.34     0.42       0.65           Ks      IMG      
  HD101205             2         AB-C      n/a                   -999.00   -999.00   1700.00    -999.00   3.80       -999.00        V       MAS98    
  HD101205             3         AB-D      n/a                   -999.00   -999.00   9600.00    -999.00   5.10       -999.00        V       MAS98    
  HD101205             2         AB-C      20.130.851            5.50      1.53      1653.26    33.49     2.84       0.12           H       IMG      
  HD101205             2         AB-C      20.130.851            5.50      1.53      1653.26    33.49     2.99       0.12           Ks      IMG      
  HD101436             0         n/a       n/a                   n/a       n/a       n/a        n/a       n/a        n/a            n/a              
  HD101545A            2         Aa-Ab     20.132.081            170.45    5.58      2.56       0.17      0.21       0.04           H       PIO      
  HD101545A            1         A-B       n/a                   -999.00   -999.00   2570.00    -999.00   0.40       -999.00        n/a     MAS98    
  HD101545A            1         A-B       20.061.888            219.20    -999.00   2543.00    -999.00   0.60       -999.00        n/a     MAS09    
  HD101545A            1         A-B       20.121.243            218.72    1.38      2582.38    42.99     0.53       0.13           H       IMG      
  HD101545A            1         A-B       20.121.243            218.72    1.38      2582.38    42.99     0.63       0.12           Ks      IMG      
  HD105056             0         n/a       n/a                   n/a       n/a       n/a        n/a       n/a        n/a            n/a              
  HD112244             0         n/a       n/a                   n/a       n/a       n/a        n/a       n/a        n/a            n/a              
  HD113904             1         B-A       n/a                   -999.00   -999.00   5340.00    -999.00   -2.10      -999.00        n/a     MAS98    
  HD113904             2         B-C       20.124.603            206.63    1.60      3450.09    75.45     5.45       0.42           H       IMG      
  HD113904             2         B-C       20.124.603            206.63    1.60      3450.09    75.45     5.27       0.45           Ks      IMG      
  HD113904             1         B-A       20.124.603            176.32    1.75      5814.18    145.83    -4.03      0.14           H       IMG      
  HD113904             1         B-A       20.124.603            176.32    1.75      5814.18    145.83    -3.94      0.12           Ks      IMG      
  HD114737             1         A-B       20.061.888            235.40    -999.00   188.00     -999.00   1.50       -999.00        n/a     MAS09    
